job_title,ai_risk_score,skill_demand_score,job_openings,salary,future_score,risk_category,risk_adjusted_openings,risk_adjusted_openings_millions,demand_category,quadrant,rank_by_safety,safety_score_norm
AI Researcher,0.15004962779156328,79.56823821339951,30122764,46127.83257237386,67.62905368544847,Low Risk,25602854.4737469,25.6028544737469,High Demand,Low Risk / High Demand,1.0,1.0
Business Analyst,0.7503048780487804,79.76981707317073,33600911,24782.6040472561,19.91813420211184,High Risk,8389983.569817076,8.389983569817076,Low Demand,High Risk / Low Demand,10.0,0.0
Cloud Engineer,0.3525844461901021,79.4878240377062,31833474,39385.44782403771,51.46165362051528,Medium Risk,20609486.199402984,20.609486199402983,High Demand,Medium Risk / High Demand,4.0,0.7099049715638144
Cybersecurity Analyst,0.2509925558312655,78.86021505376344,29989167,30089.421009098427,59.06688812401611,Low Risk,22462109.32741935,22.462109327419352,High Demand,Low Risk / High Demand,2.0,0.8175350780321898
Data Analyst,0.6490487238979119,79.42691415313224,33052070,20309.853124516627,27.874976878892763,High Risk,11599666.144315543,11.599666144315542,Low Demand,High Risk / Low Demand,9.0,0.18646991500794174
Data Scientist,0.3524979591836735,78.90122448979592,31456451,35738.77533061225,51.088703880049984,Medium Risk,20368116.219338775,20.368116219338773,High Demand,Medium Risk / High Demand,5.0,0.6958823264506682
DevOps Engineer,0.2988819320214669,79.49731663685152,28280760,36839.0733273703,55.73700504990704,Low Risk,19828151.812164582,19.82815181216458,Low Demand,Low Risk / Low Demand,6.0,0.6645125212515299
ML Engineer,0.2527219917012448,79.55269709543569,29721454,41360.30028215768,59.447981040271344,Low Risk,22210188.94886307,22.21018894886307,High Demand,Low Risk / High Demand,3.0,0.80289949632346
Product Manager,0.4008981555733761,79.55493183640738,31305736,40940.10558139534,47.661506396426,Medium Risk,18755324.178732958,18.75532417873296,Low Demand,Medium Risk / Low Demand,7.0,0.6021854614937826
Software Engineer,0.44744408945686903,79.88019169329074,31972750,31612.915790734824,44.138272055446116,Medium Risk,17666731.988817893,17.666731988817894,Low Demand,Medium Risk / Low Demand,8.0,0.5389425430991218
